age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_level
41,Self-emp-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,55,United-States,high_income
36,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,45,United-States,high_income
50,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,20,United-States,high_income
47,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,high_income
47,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,high_income
67,Private,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,Male,0,2392,40,United-States,high_income
67,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,75,United-States,high_income
72,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2392,25,United-States,high_income
46,Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,50,United-States,high_income
78,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,40,United-States,high_income
71,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,60,United-States,high_income
83,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,55,United-States,high_income
68,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,40,United-States,high_income
68,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,60,United-States,high_income
49,Self-emp-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2377,40,United-States,high_income
70,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,12,United-States,high_income
81,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,26,United-States,high_income
66,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Sales,Husband,White,Male,0,2377,25,United-States,high_income
68,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,42,NA,high_income
65,NA,Bachelors,13,Married-civ-spouse,NA,Husband,White,Male,0,2377,40,United-States,high_income
68,NA,Bachelors,13,Married-civ-spouse,NA,Husband,White,Male,0,2377,35,United-States,high_income
70,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,50,United-States,high_income
69,Private,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Male,0,2282,40,United-States,high_income
38,Private,Some-college,10,Separated,Machine-op-inspct,Not-in-family,White,Male,0,2258,55,United-States,high_income
46,State-gov,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Male,0,2258,38,United-States,high_income
29,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,45,United-States,high_income
39,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,2258,42,United-States,high_income
47,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2258,40,United-States,high_income
26,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,45,United-States,high_income
23,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,2258,40,United-States,high_income
57,Private,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,0,2258,38,United-States,high_income
49,State-gov,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,50,United-States,high_income
55,Private,Some-college,10,Widowed,Farming-fishing,Not-in-family,White,Male,0,2258,62,United-States,high_income
48,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,2258,40,United-States,high_income
31,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,45,United-States,high_income
55,Local-gov,HS-grad,9,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,0,2246,40,United-States,high_income
70,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,40,United-States,high_income
70,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,8,United-States,high_income
73,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2246,40,United-States,high_income
49,Local-gov,9th,5,Widowed,Handlers-cleaners,Unmarried,White,Male,0,2231,40,United-States,high_income
27,Local-gov,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,2231,40,United-States,high_income
66,NA,Bachelors,13,Married-civ-spouse,NA,Husband,White,Male,0,2174,40,United-States,high_income
70,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2174,40,United-States,high_income
75,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2174,50,United-States,high_income
65,State-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2174,40,United-States,high_income
65,Federal-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,2174,40,United-States,high_income
51,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,high_income
41,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,65,United-States,high_income
49,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,high_income
37,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,40,United-States,high_income
36,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1977,45,United-States,high_income
35,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,80,United-States,high_income
29,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,1977,25,United-States,high_income
50,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,40,United-States,high_income
46,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,high_income
44,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,high_income
42,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,high_income
45,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,55,United-States,high_income
43,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,United-States,high_income
47,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,high_income
58,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,high_income
48,Private,Prof-school,15,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,40,United-States,high_income
42,Local-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,48,United-States,high_income
32,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1977,40,United-States,high_income
45,Local-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,high_income
38,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,United-States,high_income
45,Private,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,1977,50,United-States,high_income
49,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,40,United-States,high_income
49,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,high_income
30,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1977,40,China,high_income
55,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,high_income
34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,high_income
54,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,high_income
42,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,70,United-States,high_income
25,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,high_income
55,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,high_income
62,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1977,60,United-States,high_income
43,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,high_income
57,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,1977,40,United-States,high_income
42,Self-emp-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,high_income
63,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1977,32,China,high_income
47,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,high_income
37,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,high_income
40,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,60,United-States,high_income
41,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,high_income
32,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,high_income
47,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,high_income
39,Federal-gov,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,1977,60,United-States,high_income
53,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,high_income
34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,high_income
36,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,high_income
47,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,41,United-States,high_income
52,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,high_income
40,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0,1977,60,United-States,high_income
42,Self-emp-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,high_income
55,Private,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,20,United-States,high_income
38,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,1977,99,United-States,high_income
52,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,high_income
60,Federal-gov,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,40,United-States,high_income
55,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,Germany,high_income
47,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1977,50,United-States,high_income
46,Private,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,40,United-States,high_income
35,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,45,United-States,high_income
59,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,high_income
57,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,45,United-States,high_income
46,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,high_income
46,Federal-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,high_income
52,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,40,United-States,high_income
45,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,30,United-States,high_income
37,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,40,United-States,high_income
46,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,high_income
44,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,1977,50,United-States,high_income
43,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1977,52,United-States,high_income
50,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,high_income
45,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,high_income
36,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,high_income
27,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,high_income
53,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,55,United-States,high_income
51,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,35,United-States,high_income
28,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,24,United-States,high_income
47,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,40,United-States,high_income
45,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,United-States,high_income
45,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,35,United-States,high_income
39,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,high_income
39,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,high_income
55,Self-emp-not-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,high_income
62,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,98,United-States,high_income
49,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,1977,50,South,high_income
53,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,high_income
31,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,48,United-States,high_income
42,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,Italy,high_income
39,Private,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1977,45,Philippines,high_income
60,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,high_income
26,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,high_income
37,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,high_income
45,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,United-States,high_income
37,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,1977,45,United-States,high_income
32,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,45,United-States,high_income
58,Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Wife,White,Female,0,1977,35,NA,high_income
41,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,45,United-States,high_income
51,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,high_income
53,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,1977,40,United-States,high_income
40,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,15,United-States,high_income
57,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1977,40,United-States,high_income
50,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,35,United-States,high_income
35,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1977,30,United-States,high_income
53,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,55,United-States,high_income
31,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,70,United-States,high_income
51,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,60,United-States,high_income
33,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,1977,45,United-States,high_income
40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,20,United-States,high_income
50,Self-emp-inc,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,63,NA,high_income
46,Self-emp-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,1977,60,United-States,high_income
54,Private,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,high_income
54,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,high_income
31,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,99,United-States,high_income
51,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,high_income
36,Private,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1977,40,Japan,high_income
41,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,1977,60,Taiwan,high_income
56,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1977,50,United-States,high_income
47,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,45,United-States,high_income
39,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,45,United-States,high_income
54,Private,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,43,United-States,high_income
54,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1977,35,United-States,high_income
31,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,55,United-States,high_income
59,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,48,United-States,high_income
46,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,high_income
57,Private,Doctorate,16,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,40,Germany,high_income
44,Private,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1977,40,United-States,high_income
54,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,18,United-States,high_income
55,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,United-States,high_income
36,Private,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,1977,50,United-States,high_income
49,Local-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,60,United-States,high_income
41,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,high_income
40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1977,45,Hong,high_income
39,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,20,United-States,high_income
26,NA,Bachelors,13,Married-civ-spouse,NA,Wife,White,Female,0,1977,40,United-States,high_income
48,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,45,United-States,high_income
43,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,high_income
42,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,NA,high_income
36,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,45,United-States,high_income
47,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras,high_income
48,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,United-States,high_income
42,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,50,United-States,high_income
31,Private,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,1902,40,United-States,high_income
